"Fidelidade","Cerveja","Vinho","Refrigerante","Peixe","Confeitaria"
"107499","F","T","T","F","F"
"70336","F","F","F","F","F"
"47598","T","T","F","F","T"
"17590","F","F","F","F","F"
"20260","F","F","F","F","T"
"50531","F","F","F","F","F"
"42653","F","F","T","F","F"
"94685","F","F","F","F","F"
"11818","F","F","F","F","F"
"25668","F","T","F","F","T"
"53959","T","F","T","F","T"
"55992","F","F","T","T","F"
"85081","T","T","F","F","T"
"104800","T","F","F","F","F"
"92125","F","F","F","F","F"
"107314","T","T","F","F","F"
"29192","F","F","F","F","T"
"90933","F","F","F","F","F"
"48749","F","F","F","T","F"
"49658","F","F","T","F","T"
"20521","F","T","F","F","F"
"75663","F","F","F","F","F"
"65425","T","F","F","F","F"
"67133","F","T","F","F","T"
"62455","F","F","F","T","F"
"100255","F","T","F","F","F"
"15590","F","F","F","T","F"
"46278","T","F","F","F","F"
"12582","T","T","F","T","F"
"38723","T","F","T","T","F"
"47251","F","T","T","T","T"
"109798","F","F","F","F","F"
"59349","T","F","T","F","F"
"17830","T","F","F","T","F"
"69401","F","T","F","F","T"
"103708","F","T","F","T","F"
"27664","F","F","T","T","F"
"102206","F","F","F","F","F"
"51732","T","F","F","F","F"
"28630","F","F","F","T","F"
"36857","F","F","F","F","F"
"82419","T","F","F","F","F"
"103385","T","F","F","T","F"
"87793","F","T","F","T","T"
"94341","T","T","F","F","F"
"19078","F","F","F","F","T"
"109376","F","T","F","F","F"
"58235","F","T","F","F","T"
"33233","F","T","F","F","F"
"83883","F","T","F","F","T"
"69718","F","T","T","F","T"
"105829","F","F","F","F","F"
"39221","F","F","F","F","F"
"98809","T","T","F","T","T"
"14759","F","F","T","F","F"
"40659","T","F","F","F","F"
"95915","T","F","F","F","F"
"47421","F","F","F","F","F"
"105601","T","F","F","F","F"
"89209","F","T","F","F","F"
"69754","F","F","T","F","F"
"17133","F","T","T","F","F"
"11119","F","F","T","T","T"
"57615","F","F","F","F","T"
"61270","F","T","F","F","F"
"11220","T","F","F","F","T"
"47645","F","F","F","F","F"
"32444","F","F","F","T","F"
"93037","F","T","F","T","F"
"34809","F","F","F","F","F"
"57582","F","F","F","F","F"
"59184","F","F","F","F","F"
"27682","T","F","F","T","T"
"56851","T","F","F","F","F"
"12312","F","F","T","F","F"
"53953","F","F","T","F","F"
"81616","F","F","F","F","T"
"37366","F","F","F","T","F"
"97512","F","F","T","F","F"
"49769","F","F","F","F","F"
"47307","F","F","F","F","F"
"25180","F","F","F","F","F"
"98023","F","F","F","T","F"
"32669","F","F","F","F","F"
"61255","F","T","T","F","T"
"101414","F","T","F","F","F"
"24686","T","T","F","T","T"
"37114","T","F","F","T","T"
"94790","F","F","F","T","F"
"105007","F","T","F","F","T"
"38645","T","T","F","T","T"
"37567","F","F","F","F","F"
"62993","F","F","F","F","F"
"12547","T","F","F","F","F"
"106654","F","F","T","F","F"
"59389","F","F","F","F","F"
"104327","F","T","F","F","F"
"87250","F","F","F","F","F"
"27371","F","F","F","T","F"
"91545","F","F","F","F","F"
"71276","T","F","F","F","F"
"109551","T","T","F","F","F"
"50961","T","F","F","F","F"
"72979","F","F","T","F","T"
"50104","T","F","F","T","F"
"13893","F","F","F","T","F"
"12800","F","F","F","F","F"
"89460","T","F","F","F","T"
"63779","F","F","T","F","F"
"29483","F","F","F","F","F"
"83127","F","F","F","T","F"
"96371","F","F","F","F","F"
"66886","F","F","F","F","F"
"66940","F","T","T","T","T"
"36191","T","F","F","T","F"
"29625","F","F","F","F","F"
"93393","T","F","F","F","F"
"60890","T","F","T","T","T"
"18464","F","F","F","F","F"
"75130","T","F","F","F","F"
"64281","T","T","F","T","F"
"84937","T","F","F","F","F"
"58388","T","F","T","F","F"
"106314","F","F","F","F","F"
"34529","F","F","F","T","T"
"56220","F","F","F","F","F"
"49085","F","T","F","T","T"
"84497","F","T","F","F","T"
"90165","F","F","F","F","F"
"98626","F","F","F","T","T"
"96289","T","F","F","F","F"
"78598","F","T","F","F","T"
"37571","F","T","T","F","F"
"42689","F","F","F","F","T"
"102421","F","F","T","T","F"
"75792","F","T","F","F","F"
"71604","T","F","F","T","F"
"102348","F","F","F","F","F"
"28233","T","T","F","T","T"
"72902","F","T","T","F","T"
"102703","F","F","T","F","F"
"50645","F","F","F","F","F"
"40282","F","T","F","F","T"
"94015","F","T","F","T","T"
"98696","F","T","F","F","T"
"43401","T","F","F","T","F"
"106585","T","F","F","F","F"
"106792","F","F","F","F","F"
"34702","F","F","F","T","F"
"19999","F","F","F","T","F"
"76145","F","F","F","F","F"
"84033","F","T","F","F","F"
"50142","F","T","F","F","F"
"96474","F","F","F","F","F"
"101699","F","F","F","F","F"
"23380","F","F","F","T","F"
"63368","T","F","F","F","F"
"32392","F","F","F","T","F"
"79577","F","T","F","F","F"
"30558","F","F","F","T","F"
"103166","F","T","F","F","F"
"64053","F","T","F","F","F"
"28081","T","F","F","T","T"
"106044","T","T","F","T","F"
"11241","T","F","F","T","F"
"11966","F","F","F","T","T"
"15835","F","F","F","T","F"
"107714","F","F","T","F","F"
"29095","T","T","F","F","F"
"98635","F","T","F","F","T"
"20849","F","T","T","T","T"
"87703","F","F","F","T","T"
"54981","F","T","F","F","F"
"51818","F","F","F","F","F"
"15650","F","F","F","T","F"
"56097","F","T","F","F","T"
"54172","T","F","F","T","F"
"103749","F","F","F","T","F"
"98409","F","T","F","F","T"
"57762","F","F","F","F","F"
"82901","F","T","F","F","T"
"88972","F","T","F","T","F"
"73383","F","F","F","F","F"
"42163","F","F","F","F","F"
"41841","F","F","T","F","T"
"39077","F","F","F","F","F"
"70014","F","T","F","F","F"
"78428","F","F","T","F","F"
"23784","F","F","F","F","F"
"26291","F","T","T","F","F"
"88549","F","F","T","T","F"
"90911","F","F","F","F","F"
"17470","T","F","F","T","T"
"94531","F","F","F","F","F"
"90462","T","T","F","F","F"
"108003","F","T","F","T","F"
"87953","F","F","F","T","F"
"36863","F","T","F","F","T"
"28138","F","F","F","T","F"
"69965","T","F","F","T","F"
"100047","F","F","F","T","F"
"13325","F","T","F","T","T"
"17747","F","F","F","T","F"
"61618","F","F","F","F","T"
"97148","T","T","T","F","T"
"28977","T","F","T","F","F"
"37784","F","F","F","F","F"
"29107","F","F","F","F","F"
"63979","T","F","T","F","F"
"106290","F","F","F","F","F"
"90562","F","F","F","T","F"
"99457","F","F","F","T","F"
"25097","F","F","T","F","F"
"70359","F","F","F","T","F"
"87450","F","F","F","T","F"
"23682","T","T","F","F","F"
"66551","F","F","F","T","F"
"49225","F","F","F","F","F"
"13518","F","F","F","F","F"
"69802","T","F","F","F","F"
"77419","T","F","F","F","T"
"59590","T","F","T","F","F"
"108832","F","F","F","T","F"
"60688","F","F","F","F","F"
"79001","F","T","F","T","T"
"26396","F","F","F","F","F"
"91986","F","F","F","F","F"
"36040","F","T","T","F","F"
"107876","T","T","F","T","F"
"71832","F","F","F","T","F"
"66618","F","F","F","F","F"
"52128","F","F","F","F","F"
"17201","F","T","F","T","F"
"32646","T","F","F","T","T"
"15109","F","F","F","F","F"
"16055","F","F","F","T","F"
"61789","T","F","F","T","F"
"10236","T","F","F","F","F"
"39081","T","T","T","F","F"
"60820","F","F","F","F","F"
"55625","F","T","T","F","T"
"14630","T","F","F","F","F"
"89106","F","T","F","F","T"
"52359","F","T","F","T","F"
"85472","F","F","F","T","T"
"14368","F","T","F","F","T"
"31921","F","T","F","F","F"
"10150","F","F","T","F","F"
"59352","F","T","F","T","T"
"10614","F","F","T","F","F"
"58566","F","F","T","F","F"
"95655","F","F","T","T","F"
"10451","T","F","F","F","T"
"28597","T","F","F","F","F"
"13903","F","F","T","F","F"
"69774","T","T","T","F","F"
"33697","F","T","F","F","T"
"101784","F","F","F","F","F"
"60073","F","T","F","T","F"
"35979","F","F","F","T","F"
"99046","T","F","T","F","F"
"40579","F","T","F","F","T"
"48893","F","F","F","F","T"
"109048","T","T","F","T","F"
"25256","F","F","F","F","T"
"30504","F","F","F","T","F"
"33167","T","F","F","F","F"
"43228","F","F","F","F","F"
"104011","F","T","T","F","F"
"52451","F","T","F","F","F"
"75274","F","F","T","T","F"
"19193","F","T","T","F","T"
"32408","T","F","F","F","F"
"96333","F","F","F","F","F"
"99410","F","F","F","F","F"
"58343","F","F","F","F","T"
"12938","F","F","T","F","F"
"52903","F","F","F","F","F"
"20844","F","F","F","F","F"
"84605","F","F","F","F","F"
"83340","T","T","T","F","F"
"34605","F","T","T","F","T"
"106494","T","T","F","F","F"
"99624","F","T","T","F","F"
"47923","T","F","T","F","F"
"71607","F","F","F","T","T"
"103485","T","F","F","F","F"
"27890","F","F","F","F","F"
"81851","F","F","F","T","T"
"36364","F","F","F","T","F"
"36951","T","F","F","F","T"
"106004","F","T","T","F","F"
"40949","T","F","F","F","F"
"35904","F","T","T","T","T"
"106489","F","F","F","F","F"
"80578","T","F","F","F","T"
"109504","F","F","F","F","T"
"28528","F","T","F","F","T"
"70664","F","F","F","F","F"
"65088","F","F","F","T","T"
"90147","F","F","F","F","F"
"28498","F","T","F","F","F"
"79890","F","F","F","T","F"
"42927","F","F","F","F","F"
"91913","T","F","T","F","F"
"32083","F","F","F","F","F"
"100918","T","F","F","F","F"
"89406","T","F","F","F","F"
"23037","F","F","T","F","F"
"103462","T","T","F","F","T"
"89559","F","F","F","T","F"
"55629","F","F","F","T","F"
"72986","T","F","F","F","F"
"19209","T","F","F","F","F"
"64752","T","F","F","F","F"
"35519","F","F","F","F","F"
"103168","T","T","T","F","T"
"46071","F","F","T","T","F"
"109132","F","F","T","F","F"
"47343","F","T","F","F","T"
"47441","F","F","F","F","T"
"93891","F","F","F","T","F"
"13747","T","F","F","F","F"
"89041","T","F","F","F","F"
"55295","F","F","F","F","F"
"47489","F","T","F","F","T"
"59580","T","F","F","F","F"
"98836","F","T","F","T","T"
"92227","F","T","F","F","T"
"34297","F","F","F","F","F"
"25774","F","T","T","T","T"
"101031","T","F","F","F","F"
"14890","F","F","F","F","F"
"63420","F","F","F","T","F"
"103325","F","F","F","F","F"
"72849","T","F","F","F","F"
"10987","F","T","F","F","T"
"31083","F","T","T","T","T"
"50258","F","F","F","F","F"
"70206","F","F","F","F","F"
"19519","T","F","F","F","T"
"14658","F","T","F","T","T"
"85860","F","F","F","F","T"
"50087","F","T","F","F","F"
"96078","T","F","F","F","T"
"82096","T","F","F","T","T"
"41996","F","F","F","F","T"
"57207","F","T","F","F","T"
"105816","F","F","F","F","F"
"94231","F","F","F","F","T"
"80869","F","T","F","F","F"
"51939","T","T","F","F","F"
"89484","T","F","F","F","F"
"99292","F","F","T","T","F"
"77232","F","F","F","T","F"
"79535","F","F","F","F","F"
"10944","T","F","F","F","F"
"42524","F","F","T","T","F"
"90360","T","F","F","F","F"
"79446","F","F","F","F","F"
"40090","F","F","F","F","F"
"83003","F","F","T","F","F"
"12694","F","F","F","F","T"
"79632","T","F","F","F","F"
"95354","T","F","T","T","F"
"108596","T","F","F","F","F"
"44594","F","T","F","F","T"
"24534","F","F","T","F","T"
"27462","T","F","T","F","F"
"108153","F","F","T","F","T"
"93974","F","F","T","F","F"
"39042","F","T","F","F","T"
"108718","T","F","F","T","F"
"59071","T","F","F","T","F"
"72299","T","F","T","T","F"
"103546","F","F","F","F","F"
"52011","T","F","F","F","F"
"81745","F","F","T","F","F"
"70428","T","T","T","F","F"
"85182","F","F","T","T","F"
"62175","T","F","F","T","F"
"39715","F","F","F","F","F"
"97328","F","F","F","F","F"
"50064","T","F","F","T","F"
"72200","F","F","F","T","F"
"14301","T","F","F","T","T"
"109583","F","F","F","F","F"
"50647","F","F","F","F","F"
"95443","F","T","F","F","F"
"65225","F","F","F","F","F"
"67809","F","F","T","F","F"
"74314","F","F","F","F","F"
"57102","T","F","F","T","F"
"61011","T","F","F","F","T"
"52421","T","T","T","T","F"
"17064","T","F","F","F","F"
"28061","F","T","F","F","T"
"12291","F","T","F","F","T"
"105095","F","F","T","F","F"
"89958","F","F","F","T","T"
"32432","F","F","F","F","T"
"70063","F","T","F","F","F"
"42037","F","F","F","F","F"
"24258","F","F","F","F","F"
"109672","T","T","F","F","F"
"33891","F","F","F","T","F"
"44775","T","T","F","T","F"
"57101","F","F","F","F","F"
"13564","F","F","F","F","F"
"28427","T","F","F","F","T"
"24864","F","F","F","F","F"
"61159","F","F","T","T","F"
"10645","T","F","F","F","F"
"96076","F","F","F","T","T"
"66651","F","F","F","F","F"
"61342","T","F","F","F","F"
"94754","F","T","T","T","T"
"37917","F","T","F","F","F"
"18517","T","F","F","F","F"
"14107","F","F","F","T","F"
"91117","F","F","F","T","F"
"28268","F","F","F","T","F"
"76944","T","T","F","F","T"
"58485","F","F","F","F","T"
"82801","F","T","F","F","F"
"54314","F","F","F","F","F"
"106122","F","T","F","F","F"
"105188","F","F","T","F","F"
"73708","F","T","T","T","T"
"72900","F","F","F","T","F"
"29343","F","T","F","F","T"
"109884","F","F","T","T","T"
"32160","T","F","F","F","T"
"59297","T","T","F","F","T"
"101544","F","F","F","F","F"
"94004","T","F","F","F","F"
"91074","F","F","F","F","F"
"78302","F","F","F","F","F"
"65006","F","F","T","T","F"
"27496","T","F","F","F","T"
"27306","T","F","T","F","T"
"108855","F","T","T","T","T"
"30423","F","F","T","F","T"
"14015","F","F","F","F","T"
"19211","T","F","F","F","T"
"18917","T","F","F","F","T"
"68104","T","F","F","T","F"
"109425","F","T","F","F","F"
"55550","F","T","F","F","F"
"14514","F","F","T","F","F"
"103087","T","T","F","F","F"
"56885","T","F","T","F","T"
"41866","F","F","F","F","F"
"69372","F","F","F","F","T"
"105429","F","F","F","F","F"
"15317","F","F","F","F","F"
"68156","T","F","T","F","F"
"104971","F","T","T","F","T"
"78626","F","F","F","F","F"
"60153","T","T","F","F","F"
"80728","F","F","F","F","T"
"100553","F","T","T","F","F"
"43962","F","F","F","T","F"
"78357","F","F","F","F","F"
"82796","F","F","F","F","F"
"40459","F","T","F","F","T"
"106499","T","F","F","F","F"
"109224","T","F","F","T","F"
"32182","T","F","F","F","F"
"100393","F","F","F","T","T"
"26061","T","F","F","T","F"
"47330","F","T","F","F","T"
"94864","F","T","F","F","F"
"28959","F","F","F","F","F"
"54462","T","T","F","F","F"
"63880","F","F","F","T","F"
"104630","F","T","F","F","T"
"11565","F","T","F","T","F"
"93527","T","T","F","F","F"
"88812","T","F","F","F","F"
"61107","F","F","F","F","F"
"104722","T","F","F","F","F"
"10915","F","F","F","T","F"
"33056","F","F","F","F","F"
"78967","T","F","F","F","F"
"81825","F","F","F","T","F"
"51846","F","F","F","T","F"
"58288","F","F","F","F","F"
"30459","F","T","F","T","T"
"70018","T","T","F","T","T"
"62789","T","F","F","F","F"
"102887","F","F","F","F","F"
"83102","T","F","F","T","F"
"57268","F","F","T","F","F"
"78139","F","F","F","F","F"
"86331","T","F","F","T","T"
"31384","F","F","F","F","F"
"63996","F","F","F","T","F"
"99025","F","F","F","F","F"
"95921","F","T","F","F","T"
"99164","F","F","T","F","T"
